                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1494,                 1.3165,                 1.1422,                  0.015,                0.52941,                0.10326,                0.05482,                 1.4466,                 3.4908,                 1.2975,             0.00044438,             0.00044438,             0.00044438
                     35,                 1.1459,                 1.2774,                 1.1007,                0.01167,                0.41176,                0.08753,                0.05092,                 1.4619,                 3.5593,                 1.3372,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.2047,                 1.3427,                 1.1302,                0.01167,                0.41176,                0.08753,                0.05092,                 1.4619,                 3.5593,                 1.3372,             0.00045745,             0.00045745,             0.00045745
                     37,                 1.0451,                 1.4261,                 1.0833,                0.01167,                0.41176,                0.07582,                0.04431,                 1.5351,                 3.5888,                  1.414,             0.00046339,             0.00046339,             0.00046339
                     38,                  1.057,                 1.4303,                 1.0587,                0.01167,                0.41176,                0.07582,                0.04431,                 1.5351,                 3.5888,                  1.414,             0.00046894,             0.00046894,             0.00046894
                     39,                0.76019,                 1.2217,                 1.0234,                   0.01,                0.35294,                0.06165,                0.04173,                 1.5638,                 3.6563,                 1.4819,             0.00047409,             0.00047409,             0.00047409
                     40,                0.85647,                 1.1213,                 1.0241,                   0.01,                0.35294,                0.06165,                0.04173,                 1.5638,                 3.6563,                 1.4819,             0.00047884,             0.00047884,             0.00047884
                     41,                0.95374,                 1.1557,                 1.0793,                0.00833,                0.29412,                0.05994,                0.04127,                 1.5968,                 3.7024,                  1.507,              0.0004832,              0.0004832,              0.0004832
                     42,                0.83916,                 1.3461,                 0.9583,                0.00833,                0.29412,                0.05994,                0.04127,                 1.5968,                 3.7024,                  1.507,             0.00048716,             0.00048716,             0.00048716
                     43,                 0.8493,                 1.1764,                 1.0265,                0.00312,                0.05882,                0.05778,                0.04585,                 1.5599,                 3.7269,                 1.5088,             0.00049073,             0.00049073,             0.00049073
                     44,                 1.0106,                 1.0682,                 1.1135,                0.00312,                0.05882,                0.05778,                0.04585,                 1.5599,                 3.7269,                 1.5088,              0.0004939,              0.0004939,              0.0004939
