                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.1422,                 1.6396,                  1.226,                0.42199,                0.23881,                0.18514,                0.08496,                 1.7963,                 3.1144,                 1.7857,              0.0014139,              0.0014139,              0.0014139
                     18,                 1.0569,                 1.3698,                 1.1709,                0.42145,                0.23881,                0.22196,                0.10539,                 1.7128,                 3.0601,                 1.7008,              0.0014804,              0.0014804,              0.0014804
                     19,                  1.089,                 1.4389,                 1.1728,                0.38217,                0.29851,                0.24252,                0.12727,                 1.6361,                 3.0234,                 1.6559,               0.001545,               0.001545,               0.001545
                     20,                 1.0898,                 1.3185,                 1.1585,                0.56121,                 0.1791,                0.18298,                0.07025,                 1.8907,                 3.3521,                 1.9717,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.0665,                 1.2268,                 1.1425,                0.50868,                0.22388,                0.25503,                0.11529,                 1.8072,                  3.185,                 1.8531,               0.001604,               0.001604,               0.001604
                     22,                 1.0736,                 1.2297,                 1.1574,                0.47513,                0.32433,                0.29702,                0.17898,                 1.6553,                 2.8355,                 1.5598,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1026,                 1.2595,                 1.1451,                0.54591,                0.38806,                0.36571,                 0.2042,                 1.6623,                  2.693,                 1.5624,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1345,                 1.2559,                 1.1993,                0.47556,                0.37313,                0.37793,                0.20251,                  1.543,                  2.567,                 1.5012,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1057,                 1.3356,                 1.1976,                0.46151,                0.31343,                0.28889,                0.15686,                 1.5577,                 2.5909,                 1.4844,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1055,                 1.3089,                 1.1527,                0.50085,                0.28358,                0.31372,                0.14949,                 1.7169,                 2.5913,                  1.591,               0.001505,               0.001505,               0.001505
                     27,                 1.0438,                 1.1525,                 1.1361,                0.41255,                0.37313,                0.37396,                0.17353,                 1.6848,                 2.3988,                 1.6016,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0149,                 1.0263,                 1.1182,                0.64396,                0.40299,                0.44966,                0.22788,                 1.5635,                 2.2311,                 1.5189,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0097,                  1.136,                 1.1183,                0.57473,                0.34328,                0.41475,                 0.1967,                 1.6034,                 2.2361,                 1.5312,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0343,                 1.0434,                 1.1797,                0.63742,                0.40299,                0.51121,                0.24312,                 1.5953,                 2.0432,                 1.5414,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.049,                 1.0791,                 1.1428,                0.70611,                0.44776,                0.55486,                0.27231,                 1.5146,                 1.9004,                 1.5163,               0.001406,               0.001406,               0.001406
                     32,                 1.0016,                 1.0342,                 1.1363,                0.70101,                0.45501,                0.53039,                0.29498,                 1.5322,                 1.9504,                   1.53,              0.0013862,              0.0013862,              0.0013862
                     33,                0.97076,                 1.0475,                 1.0951,                0.48343,                0.44776,                0.44245,                 0.2593,                 1.6095,                 2.2297,                 1.5507,              0.0013664,              0.0013664,              0.0013664
                     34,                0.93044,                 1.0383,                 1.0651,                0.60992,                0.35821,                0.38324,                0.21926,                 1.6232,                 2.4644,                 1.5966,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0785,                 1.1171,                 1.1628,                 0.6647,                0.32836,                0.39728,                0.22931,                 1.6804,                 2.4196,                 1.6234,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0411,                   1.04,                 1.1273,                0.55195,                0.34328,                0.37497,                0.21369,                 1.8495,                 2.6289,                 1.7555,               0.001307,               0.001307,               0.001307
                     37,                0.97427,                0.99135,                 1.0768,                0.51537,                0.31343,                0.34774,                0.19208,                 1.8049,                 2.7449,                 1.7218,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0278,                 1.0028,                 1.1302,                0.48631,                0.32836,                0.32644,                0.19203,                 1.7613,                 2.7382,                 1.6964,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0646,                0.99771,                 1.1321,                0.56369,                0.40299,                0.42702,                0.24218,                 1.6587,                 2.4369,                  1.633,              0.0012476,              0.0012476,              0.0012476
                     40,                0.99223,                0.99139,                 1.1149,                0.66426,                0.44303,                0.49821,                0.26381,                 1.5687,                 2.2091,                 1.5948,              0.0012278,              0.0012278,              0.0012278
                     41,                0.92767,                  0.939,                 1.0645,                 0.7587,                0.40299,                0.45375,                0.23831,                 1.5825,                 2.3321,                 1.6084,               0.001208,               0.001208,               0.001208
                     42,                0.96798,                0.99116,                 1.1203,                0.64242,                0.43284,                0.44424,                0.23269,                 1.5633,                 2.3573,                 1.5918,              0.0011882,              0.0011882,              0.0011882
                     43,                0.95906,                0.91338,                 1.0983,                0.76816,                0.40299,                 0.4786,                0.26349,                 1.5477,                 2.1751,                 1.5792,              0.0011684,              0.0011684,              0.0011684
                     44,                 0.9213,                0.88592,                 1.0708,                0.78468,                0.47761,                0.56292,                0.32414,                 1.3977,                 1.9579,                 1.4448,              0.0011486,              0.0011486,              0.0011486
                     45,                0.95389,                0.89504,                 1.0648,                0.76006,                0.47761,                0.55608,                0.33336,                 1.4081,                  1.917,                  1.425,              0.0011288,              0.0011288,              0.0011288
                     46,                0.89063,                0.86701,                 1.0734,                0.78675,                0.44061,                 0.5583,                0.33909,                 1.4139,                 1.8447,                 1.4245,               0.001109,               0.001109,               0.001109
                     47,                0.95246,                0.91347,                 1.0841,                0.64459,                0.47761,                0.55558,                0.33337,                 1.4289,                 1.8923,                 1.4329,              0.0010892,              0.0010892,              0.0010892
                     48,                0.87029,                0.83345,                 1.0494,                0.69599,                0.43284,                0.52514,                0.32491,                 1.4156,                 2.0079,                  1.398,              0.0010694,              0.0010694,              0.0010694
                     49,                0.88058,                0.87994,                  1.052,                0.64601,                0.49033,                0.55684,                0.34891,                 1.3836,                 1.8517,                  1.365,              0.0010496,              0.0010496,              0.0010496
                     50,                0.87581,                 0.7994,                 1.0683,                  0.707,                0.50746,                0.54026,                0.34451,                   1.41,                 1.8563,                 1.3964,              0.0010298,              0.0010298,              0.0010298
                     51,                0.92027,                0.89352,                 1.0656,                0.62486,                0.47242,                0.53679,                0.33413,                  1.442,                 1.8187,                 1.4417,                0.00101,                0.00101,                0.00101
                     52,                0.83599,                0.78786,                 1.0621,                0.58155,                0.58209,                0.56923,                0.31839,                 1.4047,                 1.8973,                 1.4555,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88264,                0.91197,                 1.0691,                0.52484,                0.57704,                0.54333,                0.29456,                 1.4187,                 1.9808,                 1.4689,              0.0009704,              0.0009704,              0.0009704
                     54,                0.86585,                0.83272,                 1.0594,                0.52934,                0.55224,                0.55406,                0.30131,                 1.4563,                  1.914,                  1.516,              0.0009506,              0.0009506,              0.0009506
                     55,                0.90781,                0.79367,                 1.0824,                0.65355,                 0.5068,                0.55361,                0.30961,                 1.5009,                 1.8459,                 1.5689,              0.0009308,              0.0009308,              0.0009308
                     56,                0.87711,                0.77384,                 1.0507,                0.48305,                0.54397,                0.53799,                0.29252,                 1.5333,                 1.8807,                  1.594,               0.000911,               0.000911,               0.000911
                     57,                0.90409,                0.78905,                 1.0708,                0.62442,                0.42191,                0.49691,                0.28348,                 1.5516,                 1.9612,                 1.5848,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.9185,                0.79021,                 1.0794,                0.56106,                0.50746,                 0.5081,                0.29118,                 1.5449,                 2.0643,                 1.5506,              0.0008714,              0.0008714,              0.0008714
                     59,                0.82726,                0.79047,                  1.059,                0.69235,                0.52239,                0.59898,                0.34593,                  1.464,                 1.8788,                 1.4794,              0.0008516,              0.0008516,              0.0008516
                     60,                0.84437,                0.70614,                 1.0096,                0.80507,                0.56716,                0.64947,                0.38356,                 1.3853,                 1.9176,                 1.4092,              0.0008318,              0.0008318,              0.0008318
                     61,                0.84105,                 0.7915,                 1.0641,                0.75612,                0.62687,                0.60815,                0.35606,                 1.4091,                 1.9887,                 1.4084,               0.000812,               0.000812,               0.000812
                     62,                 0.8154,                0.68896,                 1.0365,                0.62371,                0.62687,                0.59344,                0.34505,                 1.4097,                 1.9946,                 1.4103,              0.0007922,              0.0007922,              0.0007922
                     63,                0.80745,                0.72934,                 1.0235,                0.63504,                0.58209,                0.58453,                0.35084,                 1.3881,                   1.96,                 1.3724,              0.0007724,              0.0007724,              0.0007724
                     64,                0.83563,                0.72598,                 1.0267,                0.76905,                0.47761,                0.59779,                0.35534,                 1.3447,                 1.8832,                  1.384,              0.0007526,              0.0007526,              0.0007526
                     65,                0.81505,                0.68817,                 1.0181,                0.55862,                0.58563,                 0.5793,                0.35256,                 1.3392,                 1.8904,                  1.384,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.8103,                0.71207,                 1.0258,                 0.7969,                0.43284,                0.58408,                0.34093,                 1.3703,                 1.9069,                 1.4089,               0.000713,               0.000713,               0.000713
                     67,                0.83751,                0.79826,                 1.0639,                0.69044,                0.49254,                  0.582,                0.32099,                 1.4158,                 1.9211,                  1.432,              0.0006932,              0.0006932,              0.0006932
                     68,                0.76708,                0.70972,                0.99723,                0.67277,                0.50746,                0.55997,                0.29652,                 1.4698,                 2.0073,                 1.4438,              0.0006734,              0.0006734,              0.0006734
                     69,                0.84385,                0.74397,                 1.0306,                0.64489,                0.56924,                0.60814,                0.31264,                 1.4856,                 1.9954,                 1.4451,              0.0006536,              0.0006536,              0.0006536
                     70,                  0.842,                0.69966,                 1.0831,                0.80433,                0.47761,                0.56992,                0.31422,                 1.4824,                 2.0082,                 1.4497,              0.0006338,              0.0006338,              0.0006338
                     71,                0.73751,                0.69146,                0.98776,                0.72932,                0.52281,                0.58446,                0.33282,                 1.4975,                 2.0067,                 1.4786,               0.000614,               0.000614,               0.000614
                     72,                0.78441,                0.68729,                0.99941,                0.72635,                 0.5151,                0.58536,                0.33909,                 1.4704,                 2.0582,                 1.4299,              0.0005942,              0.0005942,              0.0005942
                     73,                0.81088,                0.66961,                 1.0302,                0.66064,                0.49254,                0.55173,                0.33015,                 1.4714,                 2.1175,                 1.4235,              0.0005744,              0.0005744,              0.0005744
                     74,                0.76779,                0.70425,                0.99419,                0.79171,                0.50746,                0.56545,                0.33521,                 1.4544,                 2.1384,                 1.4425,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7647,                0.66903,                 1.0194,                0.70054,                0.52239,                0.55934,                0.32332,                  1.475,                 2.0739,                 1.4515,              0.0005348,              0.0005348,              0.0005348
                     76,                0.76619,                0.66622,                 1.0357,                0.72983,                0.60485,                0.62005,                 0.3415,                 1.4768,                 1.8539,                 1.4417,               0.000515,               0.000515,               0.000515
                     77,                0.71757,                0.61911,                0.97888,                0.75452,                0.59639,                0.66691,                0.36532,                 1.4578,                 1.7489,                 1.4221,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.6866,                0.59151,                0.96306,                 0.6624,                0.70286,                 0.6847,                0.38299,                 1.4265,                 1.6814,                 1.3946,              0.0004754,              0.0004754,              0.0004754
                     79,                0.75838,                0.62625,                0.99815,                 0.7024,                0.70149,                0.69322,                0.39947,                 1.4063,                 1.6671,                 1.3809,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.6877,                0.66238,                0.99175,                 0.7124,                0.68657,                0.71484,                0.40134,                 1.3875,                 1.6891,                 1.3639,              0.0004358,              0.0004358,              0.0004358
                     81,                0.67037,                0.61972,                 0.9687,                0.75482,                0.64179,                0.71317,                0.39362,                 1.3853,                 1.6897,                 1.3658,               0.000416,               0.000416,               0.000416
                     82,                0.73958,                0.63232,                0.99518,                0.73674,                0.68657,                 0.7175,                0.39715,                  1.384,                 1.6618,                 1.3529,              0.0003962,              0.0003962,              0.0003962
                     83,                0.68584,                0.63203,                0.98615,                 0.7203,                0.65347,                0.70803,                0.40432,                 1.3737,                 1.6774,                 1.3449,              0.0003764,              0.0003764,              0.0003764
                     84,                0.63691,                0.60223,                0.96095,                0.69696,                0.64179,                0.70968,                0.41707,                 1.3436,                 1.6988,                 1.3185,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.7111,                 0.6401,                0.97097,                0.66995,                0.60597,                0.71415,                0.42293,                 1.3308,                 1.6922,                  1.307,              0.0003368,              0.0003368,              0.0003368
                     86,                0.68173,                0.59492,                0.97834,                0.77321,                0.56716,                0.71257,                0.43176,                 1.3167,                 1.6518,                 1.2921,               0.000317,               0.000317,               0.000317
                     87,                 0.6345,                0.57434,                0.96751,                0.66489,                0.64179,                0.71159,                0.43915,                 1.3072,                 1.6522,                 1.2821,              0.0002972,              0.0002972,              0.0002972
                     88,                0.62786,                0.58507,                  0.967,                0.78473,                0.56716,                0.69665,                0.43879,                 1.3169,                 1.6613,                 1.2947,              0.0002774,              0.0002774,              0.0002774
                     89,                0.58576,                0.57817,                0.97935,                0.76123,                0.57106,                0.68252,                0.42499,                 1.3135,                 1.7037,                 1.3041,              0.0002576,              0.0002576,              0.0002576
                     90,                0.67528,                0.58418,                0.96107,                0.71947,                0.58209,                 0.6566,                0.42138,                 1.3117,                 1.7558,                 1.3099,              0.0002378,              0.0002378,              0.0002378
                     91,                0.60577,                0.54466,                0.91748,                0.73077,                0.58209,                0.66202,                0.41793,                 1.3077,                 1.8098,                 1.3042,               0.000218,               0.000218,               0.000218
                     92,                0.57942,                 0.5345,                0.89249,                0.73279,                0.59701,                0.63995,                0.39098,                 1.3389,                 1.9312,                 1.3145,              0.0001982,              0.0001982,              0.0001982
                     93,                0.55281,                0.52193,                0.88699,                0.72095,                0.59701,                0.62609,                0.38195,                 1.3542,                 1.9766,                 1.3251,              0.0001784,              0.0001784,              0.0001784
                     94,                0.58365,                0.55433,                0.90798,                0.72705,                0.59635,                0.62243,                 0.3737,                  1.348,                 1.9898,                 1.3233,              0.0001586,              0.0001586,              0.0001586
                     95,                0.57563,                0.52846,                0.90487,                 0.7068,                0.57575,                0.62133,                 0.3726,                 1.3354,                 1.9858,                 1.3262,              0.0001388,              0.0001388,              0.0001388
                     96,                0.57129,                0.53571,                0.89094,                0.72609,                0.55224,                 0.6335,                0.39624,                 1.3247,                 1.9681,                 1.3308,               0.000119,               0.000119,               0.000119
                     97,                 0.5215,                0.48573,                0.87333,                0.69788,                0.59701,                0.63399,                0.39633,                 1.3231,                 1.9365,                 1.3277,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.55273,                0.51753,                 0.8984,                0.67856,                0.59701,                 0.6446,                0.40426,                  1.313,                 1.8896,                 1.3219,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.54685,                 0.5068,                0.88127,                0.67059,                0.59701,                0.64336,                0.40901,                 1.3072,                  1.857,                 1.3159,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.52052,                0.49572,                0.89703,                0.68572,                0.61879,                0.65476,                0.41665,                 1.3015,                 1.8106,                 1.3107,               3.98e-05,               3.98e-05,               3.98e-05
