                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2335,                 3.2737,                 1.4544,                0.00773,                0.76119,                0.15694,                0.09118,                0.99896,                 3.2266,                 1.2204,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.2612,                 2.9108,                    1.4,                0.00833,                 0.8209,                0.35759,                0.23926,                 1.0662,                 2.9988,                 1.1457,             0.00017822,             0.00017822,             0.00017822
                      3,                 1.1482,                 2.1483,                 1.2244,                0.55084,                0.02985,                0.28381,                0.17023,                 1.1946,                 2.8882,                 1.1684,             0.00027446,             0.00027446,             0.00027446
                      4,                 1.1707,                  1.961,                 1.1801,                0.00848,                0.83582,                0.33658,                0.23078,                 1.2203,                 2.9168,                 1.2032,             0.00036871,             0.00036871,             0.00036871
                      5,                  1.119,                 1.8589,                 1.1668,                0.01529,                0.53731,                0.35906,                0.23675,                 1.2725,                 2.8887,                 1.1945,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.1896,                 1.7313,                  1.184,                0.82305,                0.07002,                0.36183,                0.22037,                 1.3816,                 2.8251,                 1.2408,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.0941,                 1.5887,                 1.1506,                 0.9263,                0.18787,                0.32685,                0.16362,                 1.6314,                 2.9674,                 1.4277,             0.00063961,             0.00063961,             0.00063961
                      8,                  1.161,                  1.606,                 1.1888,                0.73034,                0.24266,                0.33672,                0.17313,                 1.5745,                 2.9051,                 1.4547,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.0905,                 1.5207,                 1.1399,                0.63114,                0.28099,                0.38809,                0.22075,                 1.4265,                 2.9203,                 1.4151,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.1301,                 1.4358,                 1.1496,                 0.9223,                 0.1791,                0.32294,                0.20851,                 1.3853,                 3.0165,                 1.4629,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.0115,                 1.3937,                 1.1174,                0.64655,                0.22388,                0.24311,                0.12363,                 1.5851,                 3.3131,                 1.6327,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.1303,                 1.5005,                 1.1613,                      1,                0.07324,                0.25111,                0.13867,                 1.4407,                 3.1988,                 1.5209,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.0272,                 1.4635,                 1.1247,                 0.8498,                 0.1194,                0.22063,                0.13229,                 1.4973,                 3.1716,                 1.5104,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.1238,                 1.4495,                 1.1919,                  0.502,                0.16418,                0.16512,                0.08468,                 1.6148,                 3.2265,                 1.6486,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.0649,                 1.3371,                  1.148,                0.33156,                 0.1194,                0.10437,                0.05536,                 1.7823,                 3.4912,                 1.9083,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.1313,                 1.5037,                 1.1942,                0.33427,                 0.1791,                0.13254,                0.06198,                 1.9801,                 3.3897,                 2.0734,              0.0013454,              0.0013454,              0.0013454
